date,campaign,broker,target,meta_accepted,delivered,read,failed,replies,delivery_pct,read_pct,reply_pct
2025-06-01,maple_hot,Dmitrii,90,35,33,4,55,2,36.7,12,6.1
2025-06-01,maple_average,Dmitrii,777,246,231,98,504,22,29.7,42,9.5
2025-06-01,sidra_hot_and_avrg_1,Vladimir,154,38,38,14,114,1,24.7,37,2.6
2025-06-01,sidra_hot_and_avrg_2,Hicham,136,83,78,28,52,1,57.4,36,1.3
2025-06-01,royal_atlantis,Alikhan,282,100,90,34,180,4,31.9,38,4.4
2025-06-01,como_residences,Alikhan,29,10,10,2,18,0,34.5,20,0.0
2025-06-01,viceroy_five_palm,Alikhan,221,89,79,19,131,3,35.7,24,3.8
2025-06-01,arabian_ranches_010626,Dmitrii,130,23,22,7,107,1,16.9,32,4.5
2025-06-01,grande,Lev,117,52,48,11,65,2,41.0,23,4.2
2025-06-01,primo,Lev,88,33,31,3,55,0,35.2,10,0.0
2025-06-01,act_towers,Rency,338,52,49,25,286,5,14.5,51,10.2
